"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"David Price","Red Sox","1","0","0.00","1","1","0","0","0","0","0","7.0","24","4","0","0","0","0","0","0","0","0","5","3184"
"Kyle Gibson","Twins","1","0","0.00","1","1","0","0","0","0","0","6.0","23","0","0","0","0","5","0","0","0","0","6","10123"
"Matt Harvey","Mets","0","0","0.00","1","1","0","0","0","0","0","5.0","18","1","0","0","0","1","0","0","1","0","5","11713"
"Jakob Junis","Royals","1","0","0.00","1","1","0","0","0","0","0","7.0","25","3","0","0","0","1","0","0","0","0","6","13619"
"Jose Berrios","Twins","1","0","0.00","1","1","1","1","0","0","0","9.0","31","3","0","0","0","1","0","0","0","0","6","14168"
"Tyler Mahle","Reds","1","0","0.00","1","1","0","0","0","0","0","6.0","21","1","0","0","0","2","0","1","0","0","7","16358"
"Trevor Williams","Pirates","1","0","0.00","1","1","0","0","0","0","0","6.0","20","0","0","0","0","5","0","0","0","0","1","16977"
"Jarlin Garcia","Marlins","0","0","0.00","1","0","0","0","0","0","0","6.0","20","1","0","0","0","2","1","0","0","0","6","18282"
"Dillon Peters","Marlins","1","0","0.00","1","1","0","0","0","0","0","6.0","26","6","0","0","0","1","0","1","0","0","2","18790"
"Johnny Cueto","Giants","1","0","0.69","2","2","0","0","0","0","0","13.0","47","9","1","1","0","2","0","0","0","0","5","6893"
"Dylan Bundy","Orioles","0","0","0.69","2","2","0","0","0","0","0","13.0","51","10","2","1","0","3","0","0","1","0","15","12917"
"Chris Sale","Red Sox","0","0","0.82","2","2","0","0","0","0","0","11.0","40","6","1","1","0","3","0","0","0","0","15","10603"
"Michael Fulmer","Tigers","0","1","1.13","1","1","0","0","0","0","0","8.0","27","4","1","1","0","2","0","1","0","0","3","13218"
"Sean Manaea","Athletics","1","1","1.15","2","2","0","0","0","0","0","15.2","53","7","2","2","1","1","0","1","0","0","11","15873"
"Tanner Roark","Nationals","1","0","1.29","1","1","0","0","0","0","0","7.0","25","4","1","1","0","1","0","0","1","0","6","8753"
"Gerrit Cole","Astros","1","0","1.29","1","1","0","0","0","0","0","7.0","25","2","1","1","1","3","0","0","0","0","11","13125"
"Eddie Butler","Cubs","0","1","1.29","1","0","0","0","0","0","0","7.0","26","4","1","1","0","1","0","0","0","0","5","13453"
"Zack Godley","Diamondbacks","1","0","1.29","1","1","0","0","0","0","0","7.0","26","4","1","1","0","1","0","0","1","0","3","14862"
"Francisco Liriano","Tigers","1","0","1.35","1","1","0","0","0","0","0","6.2","25","4","1","1","0","2","0","0","1","0","3","3201"
"Patrick Corbin","Diamondbacks","2","0","1.38","2","2","0","0","0","0","0","13.0","48","8","2","2","2","2","0","0","0","0","20","9323"
"Luis Severino","Yankees","2","0","1.38","2","2","0","0","0","0","0","13.0","47","6","2","2","0","4","0","0","0","0","14","15890"
"Stephen Strasburg","Nationals","1","0","1.42","1","1","0","0","0","0","0","6.1","29","8","3","1","1","1","0","0","0","0","7","10131"
"Tyler Chatwood","Cubs","0","1","1.50","1","1","0","0","0","0","0","6.0","27","4","1","1","0","6","0","0","1","0","4","4338"
"Ian Kennedy","Royals","0","0","1.50","1","1","0","0","0","0","0","6.0","23","4","1","1","0","2","0","0","0","0","5","6986"
"Gio Gonzalez","Nationals","1","0","1.50","1","1","0","0","0","0","0","6.0","24","5","1","1","0","1","0","0","0","0","7","7448"
"Homer Bailey","Reds","0","1","1.50","1","1","0","0","0","0","0","6.0","25","4","1","1","0","3","0","0","0","0","3","8362"
"Kyle Hendricks","Cubs","0","0","1.50","1","1","0","0","0","0","0","6.0","25","4","1","1","0","3","0","1","0","0","5","12049"
"Brian Johnson","Red Sox","1","0","1.50","1","1","0","0","0","0","0","6.0","25","6","1","1","1","2","0","0","0","0","5","14272"
"Matt Boyd","Tigers","0","1","1.50","1","1","0","0","0","0","0","6.0","22","4","1","1","0","0","0","0","0","0","1","15440"
"Masahiro Tanaka","Yankees","1","0","1.50","1","1","0","0","0","0","0","6.0","21","3","1","1","1","0","0","0","0","0","8","15764"
"Reynaldo Lopez","White Sox","0","0","1.50","1","1","0","0","0","0","0","6.0","21","2","1","1","1","2","0","0","0","0","6","16400"
"Jacob deGrom","Mets","1","0","1.59","1","1","0","0","0","0","0","5.2","22","4","1","1","0","1","0","0","0","0","7","10954"
"Max Scherzer","Nationals","1","1","1.64","2","2","0","0","0","0","0","11.0","48","11","5","2","1","3","0","0","1","0","17","3137"
"Tyler Skaggs","Angels","1","0","1.64","2","2","0","0","0","0","0","11.0","43","8","2","2","0","2","0","1","0","0","10","10190"
"Tyler Glasnow","Pirates","0","0","1.80","2","0","0","0","0","0","0","5.0","21","3","1","1","0","4","0","0","0","0","7","14374"
"Alex Wood","Dodgers","0","1","1.93","2","2","0","0","0","0","0","14.0","51","7","3","3","0","0","0","0","0","0","10","13781"
"Clayton Kershaw","Dodgers","0","2","2.25","2","2","0","0","0","0","0","12.0","51","12","3","3","3","3","0","0","1","0","13","2036"
"Justin Verlander","Astros","1","0","2.31","2","2","0","0","0","0","0","11.2","48","10","4","3","2","3","0","1","0","0","14","8700"
"Corey Kluber","Indians","0","1","2.40","2","2","1","0","0","0","0","15.0","54","9","4","4","2","3","0","0","1","0","14","2429"
"Jon Gray","Rockies","1","1","2.45","2","2","0","0","0","0","0","11.0","47","10","3","3","0","3","0","1","0","0","11","14916"
"Mike Leake","Mariners","1","0","2.57","1","1","0","0","0","0","0","7.0","29","5","2","2","1","3","1","0","0","0","4","10130"
"Jake Odorizzi","Twins","0","0","2.61","2","2","0","0","0","0","0","10.1","43","7","3","3","1","5","0","0","0","0","9","6397"
"Mike Foltynewicz","Braves","1","0","2.61","2","2","0","0","0","0","0","10.1","44","9","4","3","2","3","0","1","4","0","15","10811"
"Aaron Nola","Phillies","0","0","2.61","2","2","0","0","0","0","0","10.1","42","7","3","3","1","5","0","1","0","0","7","16149"
"Carlos Martinez","Cardinals","1","1","2.84","2","2","0","0","0","0","0","12.2","56","8","5","4","0","8","0","2","0","0","15","11682"
"Fernando Salas","Diamondbacks","1","1","3.00","3","0","0","0","0","0","0","6.0","25","5","2","2","1","2","1","0","0","0","2","4971"
"Doug Fister","Rangers","1","1","3.12","2","2","0","0","0","0","0","8.2","41","11","6","3","0","5","0","1","1","0","8","9425"
"Ben Lively","Phillies","0","1","3.18","1","1","0","0","0","0","0","5.2","25","6","2","2","0","1","0","2","0","0","5","14932"
"Dallas Keuchel","Astros","0","1","3.27","2","2","0","0","0","0","0","11.0","49","12","5","4","1","5","0","0","2","0","7","9434"
"Cole Hamels","Rangers","1","1","3.38","2","2","0","0","0","0","0","10.2","45","9","4","4","3","7","0","0","0","0","18","4972"
"Jameson Taillon","Pirates","1","0","3.38","1","1","0","0","0","0","0","5.1","20","4","2","2","1","0","0","0","1","0","9","11674"
"Chase Anderson","Brewers","0","0","3.60","2","2","0","0","0","0","0","10.0","43","9","4","4","3","3","0","1","0","0","11","6895"
"Marco Estrada","Blue Jays","0","0","3.86","1","1","0","0","0","0","0","7.0","27","4","3","3","2","3","0","0","0","0","2","1118"
"Marco Gonzales","Mariners","1","0","4.26","1","1","0","0","0","0","0","6.1","23","6","3","3","2","0","0","0","0","0","2","15467"
"Clayton Richard","Padres","0","1","4.50","2","2","0","0","0","0","0","12.0","51","14","6","6","0","4","1","0","1","0","10","3551"
"Tyson Ross","Padres","1","0","4.50","1","1","0","0","0","0","0","6.0","24","5","3","3","0","3","0","0","0","0","2","7872"
"Sal Romano","Reds","0","1","4.50","1","1","0","0","0","0","0","6.0","25","4","3","3","2","4","1","0","0","0","2","13690"
"Lucas Giolito","White Sox","0","0","4.50","1","1","0","0","0","0","0","6.0","26","4","3","3","0","4","0","1","1","0","1","15474"
"Jose Urena","Marlins","0","1","4.91","2","2","0","0","0","0","0","11.0","49","10","6","6","2","5","2","3","0","0","9","11589"
"Blake Snell","Rays","0","1","5.00","2","2","0","0","0","0","0","9.0","38","7","5","5","2","5","0","0","0","0","7","13543"
"Garrett Richards","Angels","1","0","5.06","2","2","0","0","0","0","0","10.2","48","8","6","6","3","7","0","1","1","0","13","9784"
"Alex Wilson","Tigers","0","1","5.06","2","0","0","0","0","0","0","5.1","20","5","3","3","1","0","0","0","0","0","3","9239"
"Noah Syndergaard","Mets","1","0","5.40","2","2","0","0","0","0","0","10.0","42","10","6","6","2","2","0","0","0","0","17","11762"
"Carson Fulmer","White Sox","0","0","5.40","1","1","0","0","0","0","0","5.0","21","5","3","3","0","1","0","0","0","0","5","18311"
"Aaron Sanchez","Blue Jays","0","1","5.40","2","2","0","0","0","0","0","11.2","52","13","7","7","1","6","0","2","0","0","9","11490"
"J.A. Happ","Blue Jays","1","1","5.40","2","2","0","0","0","0","0","10.0","44","11","7","6","3","2","0","1","0","0","14","7410"
"Odrisamer Despaigne","Marlins","1","0","5.63","3","1","0","0","0","0","0","8.0","33","9","6","5","1","2","0","0","0","0","7","16017"
"Ty Blach","Giants","1","1","5.79","2","2","0","0","0","0","0","9.1","42","13","6","6","0","5","0","0","0","0","5","14361"
"Jordan Zimmermann","Tigers","0","0","6.00","1","1","0","0","0","0","0","6.0","24","6","4","4","0","1","0","0","0","0","8","4505"
"James Shields","White Sox","1","0","6.00","1","1","0","0","0","0","0","6.0","25","5","4","4","1","1","0","1","0","0","0","7059"
"Ivan Nova","Pirates","0","1","6.10","2","2","0","0","0","0","0","10.1","46","11","7","7","1","4","0","0","1","0","7","1994"
"Chad Kuhl","Pirates","1","0","6.35","1","1","0","0","0","0","0","5.2","25","8","4","4","1","0","0","0","0","0","4","14975"
"Chris Archer","Rays","0","0","6.55","2","2","0","0","0","0","0","11.0","47","12","8","8","2","4","0","0","0","0","14","6345"
"Jhoulys Chacin","Brewers","0","1","7.00","2","2","0","0","0","0","0","9.0","46","14","10","7","3","4","0","1","0","0","6","2608"
"Felix Hernandez","Mariners","1","1","7.71","2","2","0","0","0","0","0","9.1","43","8","8","8","3","7","0","0","1","0","5","4772"
"Kendall Graveman","Athletics","0","1","8.10","2","2","0","0","0","0","0","10.0","43","15","9","9","4","1","0","0","1","0","2","15514"
"Jason Hammel","Royals","0","1","9.00","1","1","0","0","0","0","0","5.0","26","7","5","5","0","3","2","0","0","0","3","4538"
"Miguel Gonzalez","White Sox","0","1","9.00","1","1","0","0","0","0","0","5.0","25","8","6","5","2","2","0","0","0","0","4","7024"
"Jose Quintana","Cubs","0","1","9.00","1","1","0","0","0","0","0","6.0","27","6","6","6","0","4","1","0","1","0","2","11423"
"Julio Teheran","Braves","0","0","10.13","2","2","0","0","0","0","0","8.0","39","10","9","9","4","6","0","1","1","0","5","6797"
"Luis Castillo","Reds","0","1","10.80","1","1","0","0","0","0","0","5.0","22","6","6","6","2","1","0","0","0","0","6","15689"
"Danny Duffy","Royals","0","1","11.25","1","1","0","0","0","0","0","4.0","20","7","5","5","3","2","0","0","0","0","5","3542"
